"ab_idx","chain","V gene","source"
"1321","L","IGKV2-24","collected"
"1322","H","IGHV1-24","collected"
"1322","L","IGKV2-24","collected"
"1323","H","IGHV1-24","collected"
"1323","L","IGKV2-24","collected"
"1324","H","IGHV3-33","collected"
"1324","L","IGKV1-16","collected"
"1325","H","IGHV1-24","collected"
"1325","L","IGKV2-24","collected"
"1326","H","IGHV1-24","collected"
"1326","L","IGKV2-24","collected"
"1327","H","IGHV3-33","collected"
"1327","L","IGKV1-16","collected"
"1329","H","IGHV1-24","collected"
"1329","L","IGKV2-24","collected"
"132","H","IGHV2-5","collected"
"132","L","IGLV2-14","collected"
"1330","H","IGHV3-15","collected"
"1330","L","IGKV1-27","collected"
"1331","H","IGHV3-49","collected"
"1331","L","IGKV3-15","collected"
"1332","H","IGHV4-34","collected"
"1332","L","IGKV1-27","collected"
"1333","H","IGHV3-30","collected"
"1333","L","IGLV3-1","collected"
"1334","H","IGHV3-66","collected"
"1334","L","IGKV1-9","collected"
"1335","H","IGHV3-21","collected"
"1335","L","IGKV3-11","collected"
"1336","H","IGHV4-4","collected"
"1336","L","IGLV3-1","collected"
"1337","H","IGHV4-31","collected"
"1337","L","IGKV1-33","collected"
"1338","H","IGHV1-58","collected"
"1338","L","IGKV3D-20","collected"
"1339","H","IGHV3-30","collected"
"1339","L","IGKV3D-20","collected"
"133","H","IGHV3-30","collected"
"133","L","IGKV1-5","collected"
"1340","H","IGHV3-30","collected"
"1340","L","IGLV6-57","collected"
"1341","H","IGHV3-30","collected"
"1341","L","IGKV1-27","collected"
"1342","H","IGHV1-69","collected"
"1342","L","IGKV4-1","collected"
"1343","H","IGHV3-23","collected"
"1343","L","IGLV1-51","collected"
"1344","H","IGHV4-4","collected"
"1344","L","IGLV2-23","collected"
"1345","H","IGHV3-30","collected"
"1345","L","IGKV3D-20","collected"
"1346","H","IGHV3-33","collected"
"1346","L","IGLV3-10","collected"
"1347","H","IGHV3-7","collected"
"1347","L","IGLV3-10","collected"
"1348","H","IGHV3-33","collected"
"1348","L","IGLV3-10","collected"
"1349","H","IGHV3-7","collected"
"1349","L","IGLV3-1","collected"
"134","H","IGHV3-66","collected"
"134","L","IGKV1-12","collected"
"1350","H","IGHV3-30","collected"
"1350","L","IGLV3-10","collected"
"1351","H","IGHV3-30","collected"
"1351","L","IGKV1-27","collected"
"1352","H","IGHV1-46","collected"
"1352","L","IGKV3-11","collected"
"1353","H","IGHV3-53","collected"
"1353","L","IGKV4-1","collected"
"1354","H","IGHV3-20","collected"
"1354","L","IGKV3D-20","collected"
"1355","H","IGHV3-33","collected"
"1355","L","IGLV3-10","collected"
"1356","H","IGHV3-30","collected"
"1356","L","IGKV1-33","collected"
"1357","H","IGHV4-59","collected"
"1357","L","IGKV4-1","collected"
"1358","H","IGHV5-51","collected"
"1358","L","IGLV6-57","collected"
"1359","H","IGHV4-59","collected"
"1359","L","IGLV1-40","collected"
